"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
37,5;"bureaux de poste";"Nouvelle Aquitaine";86;-0,0568797660868044;-0,0673020754264186
37,5;"bureaux de poste";"Occitanie";74;0,210819398885609;0,168866331684119
37,5;"bureaux de poste";"Auvergne-Rhône-Alpes";66;0,13149908967295;0,120762675615583
37,5;"collèges et lycées publics";"Grand Est";57;0,390443976232702;0,407596799504502
37,5;"collèges et lycées publics";"Nouvelle Aquitaine";80;0,327152955453749;0,323811641137531
37,5;"collèges et lycées publics";"Occitanie";69;0,55700646910599;0,394350009328458
37,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";62;0,480922637174293;0,466087448481259
40;"bureaux de poste";"Grand Est";52;0,121970076048494;0,057629945395743
40;"bureaux de poste";"Nouvelle Aquitaine";77;-0,071199991301103;-0,10808614716191
40;"bureaux de poste";"Occitanie";65;0,312267013313917;0,105804259065797
40;"bureaux de poste";"Auvergne-Rhône-Alpes";60;0,085056493819964;-0,0427083285454284
40;"collèges et lycées publics";"Grand Est";54;0,560077016330707;0,467594035401076
40;"collèges et lycées publics";"Nouvelle Aquitaine";72;0,410478558046058;0,375365415420111
40;"collèges et lycées publics";"Occitanie";62;0,549742063151723;0,358953000663873
40;"collèges et lycées publics";"Auvergne-Rhône-Alpes";55;0,232510010457819;0,181289175789752
