"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"28051";"Bonneval";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"28061";"Brou";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"28085";"Chartres";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"28088";"Châteaudun";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"28116";"Chartres";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"28134";"Dreux";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"28191";"Paris";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"28196";"Chartres";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"28214";"La Loupe";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"28218";"Chartres";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"28279";"Paris";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"28280";"Nogent-le-Rotrou";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"28298";"Paris";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"28388";"Chartres";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29003";"Plouhinec - Audierne";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29019";"Brest";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"29024";"Carhaix-Plouguer";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29026";"Châteaulin";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29027";"Châteauneuf-du-Faou";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29040";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29042";"Crozon";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29043";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29046";"Douarnenez";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"29058";"Quimper";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29069";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29072";"Penmarch";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29075";"Brest";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29105";"Landivisiau";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29117";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29124";"Lesneven";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29160";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29163";"Morlaix";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29167";"Quimper";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29178";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29189";"Brest";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29199";"Morlaix";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"29207";"Morlaix";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29212";"Brest";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29220";"Pont-l'Abbé";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29232";"Quimper";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"29233";"Quimperlé";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29235";"Brest";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29241";"Rosporden";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29259";"Saint-Pol-de-Léon";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"29260";"Brest";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30003";"Aigues-Mortes";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30007";"Alès";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"30010";"Alès";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30028";"Bagnols-sur-Cèze";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"30036";"Nîmes";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30047";"Nîmes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30062";"Nîmes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30133";"Le Grau-du-Roi";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30141";"Laudun-l'Ardoise";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30156";"Nîmes";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30189";"Nîmes";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"30202";"Pont-Saint-Esprit";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30221";"Avignon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30227";"Alès";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30241";"Nîmes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30281";"Nîmes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30284";"Alès";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30305";"Alès";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30334";"Uzès";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30348";"Alès";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"30350";"Le Vigan";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"30351";"Avignon";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"31033";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31042";"Bagnères-de-Luchon";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31044";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31056";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31098";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31106";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31107";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31113";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31135";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31145";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31157";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31182";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31193";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31202";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31232";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31271";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31282";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31291";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31324";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31358";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31375";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31381";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31390";"Montréjeau";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31395";"Toulouse";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31396";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31424";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31433";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31446";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31451";"Revel";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31454";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31455";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31467";"Toulouse";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"31483";"Saint-Gaudens";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"31490";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31499";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31506";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31517";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31547";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31555";"Toulouse";"Pr<e9>fecture de r<e9>gion";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"31561";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"31573";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31582";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31584";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"31588";"Toulouse";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"32013";"Auch";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"32106";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"32107";"Condom";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"32119";"Eauze";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"32132";"Fleurance";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"32160";"Toulouse";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"32162";"Auch";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"32208";"Lectoure";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"32256";"Mirande";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"32462";"Vic-Fezensac";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33003";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33004";"Bordeaux";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"33005";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33011";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33036";"Bazas";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33042";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33051";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33056";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33058";"Blaye";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33063";"Bordeaux";"Pr<e9>fecture de r<e9>gion";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"33065";"Bordeaux";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"33067";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33071";"Bordeaux";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"33081";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33096";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33097";"Bordeaux";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"33104";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33108";"Castillon-la-Bataille";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33109";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33114";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33122";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33140";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33162";"Bordeaux";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"33199";"La Teste-de-Buch - Arcachon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33214";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33226";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33227";"Langon";"Sous-pr<e9>fecture";"211";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"33234";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33236";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33238";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33240";"Lesparre-Médoc";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33243";"Libourne";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"33262";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33314";"Pauillac";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33327";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33352";"La Réole";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33366";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33394";"Libourne";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33402";"Bergerac";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33422";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33424";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33447";"Saint-Seurin-sur-l'Isle";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33449";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33473";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33523";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"33535";"Bordeaux";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"33548";"Bordeaux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34003";"Agde";"Commune simple";"211";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"34010";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34028";"Bédarieux";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34032";"Béziers";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"34057";"Montpellier";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34058";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34077";"Montpellier";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34079";"Clermont-l'Hérault";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34111";"Ganges";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34113";"Sète";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"34114";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34142";"Lodève";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34145";"Lunel";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34154";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34172";"Montpellier";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"34178";"Béziers";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34192";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34199";"Pézenas";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"34255";"Montpellier";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34259";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34270";"Montpellier";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34274";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34276";"Montpellier";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34300";"Béziers";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34301";"Sète";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"34324";"Béziers";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"34337";"Montpellier";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"34344";"Le Grau-du-Roi";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35012";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35022";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35024";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35047";"Rennes";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35051";"Rennes";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"35068";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35069";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35070";"Saint-Malo";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35095";"Dol-de-Bretagne";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35115";"Fougères";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"35125";"La Guerche-de-Bretagne";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35126";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35130";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35136";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35152";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35168";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35184";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35188";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35196";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35210";"Rennes";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35219";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35223";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35228";"Dinard";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35236";"Redon";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"35238";"Rennes";"Pr<e9>fecture de r<e9>gion";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"35239";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35251";"Rennes";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"35257";"Saint-Brice-en-Coglès";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35265";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35288";"Saint-Malo";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"35297";"Saint-Méen-le-Grand";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"35326";"Rennes";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"35352";"Rennes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"35360";"Vitré";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"36003";"Châteauroux";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"36005";"Châteauroux";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"36006";"Argenton-sur-Creuse";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"36018";"Le Blanc";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"36031";"Buzançais";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"36044";"Châteauroux";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"36046";"La Châtre";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"36088";"Issoudun";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"37003";"Tours";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"37011";"Beaumont-en-Véron";"Commune simple";"221";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"37014";"Tours";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"37018";"Tours";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"37027";"Tours";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"37031";"Bourgueil";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"37050";"Tours";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"37062";"Tours";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"37072";"Chinon";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"37083";"Tours";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
