"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"09225";"Pamiers";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"09235";"Saint-Girons";"Commune simple";"212";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"09246";"Saint-Girons";"Commune simple";"212";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"09261";"Saint-Girons";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"09306";"Tarascon-sur-Ariège";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"09324";"Pamiers";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10006";"Arcis-sur-Aube";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10030";"Troyes";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10033";"Bar-sur-Aube";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10034";"Bar-sur-Seine";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10051";"Troyes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"10060";"Troyes";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10064";"Brienne-le-Château";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10142";"Troyes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"10209";"Troyes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"10268";"Nogent-sur-Seine";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"10287";"Troyes";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"10323";"Romilly-sur-Seine";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"10387";"Troyes";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"11009";"Carcassonne";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"11069";"Carcassonne";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"11076";"Castelnaudary";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"11099";"Carcassonne";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"11106";"Narbonne";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"11164";"Narbonne";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"11203";"Lézignan-Corbières";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"11206";"Limoux";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"11222";"Carcassonne";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"11262";"Narbonne";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"11266";"Port-la-Nouvelle";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"11344";"Carcassonne";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"11397";"Carcassonne";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"12052";"Figeac";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"12056";"Rodez";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"12089";"Decazeville";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"12096";"Espalion";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"12138";"Rodez";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"12145";"Millau";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"12200";"Millau";"Commune simple";"212";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"12202";"Rodez";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"12208";"Saint-Affrique";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"12213";"Millau";"Commune simple";"212";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"12300";"Villefranche-de-Rouergue";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"13001";"Marseille - Aix-en-Provence";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"13004";"Arles";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"13005";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"13014";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13015";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13021";"Marseille - Aix-en-Provence";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"13022";"Marseille - Aix-en-Provence";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"13027";"Avignon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"13032";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13041";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13045";"Avignon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13046";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13047";"Marseille - Aix-en-Provence";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"13050";"Marseille - Aix-en-Provence";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"13051";"Marseille - Aix-en-Provence";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"13056";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"13067";"Avignon";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13074";"Marseille - Aix-en-Provence";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"13081";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13086";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13087";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13100";"Saint-Rémy-de-Provence";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13106";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"13110";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13112";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13113";"Marseille - Aix-en-Provence";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"13119";"Marseille - Aix-en-Provence";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"13203";"Marseille";"Arrondissement municipal";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"13208";"Marseille";"Arrondissement municipal";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"14047";"Bayeux";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"14061";"Vire Normandie";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14098";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14100";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14118";"Caen";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"14174";"Condé-en-Normandie";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"14191";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14200";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14220";"Dives-sur-Mer";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"14228";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14257";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14258";"Falaise";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"14333";"Honfleur";"Commune simple";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"14338";"Dives-sur-Mer";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"14366";"Lisieux";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"14431";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14456";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14478";"Orbec";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"14488";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14654";"Saint-Pierre-sur-Dives";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"14689";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14692";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14712";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14726";"Vire Normandie";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
