"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"725",3033,3135,3303,3430,3510,3630,3572,3155,2786,"Bar-sur-Seine","petite
(< 30.000 hab.)",-1.0965088771794,-1.29657046405491,-1.24976195127168,-0.328826410718586
"726",2841,3009,3294,3501,3530,3864,4100,4234,4220,"Sancerre","petite
(< 30.000 hab.)",-1.89683578335519,-2.23697114905309,-2.0110370617471,-0.117776716900309
"727",3411,3554,3412,3153,3122,3038,3332,3161,2932,"Artix","petite
(< 30.000 hab.)",-1.3596134915529,1.02459085456013,2.66640398113958,0.141250499959678
"728",3003,3151,3346,3449,3737,4072,4308,4532,4612,"Salins-les-Bains","petite
(< 30.000 hab.)",-1.59081320906432,-1.48993250357184,-1.00553473165654,-1.1391592596845
"729",3371,3382,3337,3310,3224,3195,3240,3251,3161,"Durtal","petite
(< 30.000 hab.)",-0.108534865744669,0.335437604671962,0.271167341345957,0.376784694733434
"730",3052,3112,3184,3307,3477,3807,4040,4115,4031,"Dompierre-sur-Besbre","petite
(< 30.000 hab.)",-0.646848631708496,-0.570184782567551,-1.255490985814,-0.713562240418553
"731",2848,2934,3226,3182,3062,2813,3097,3091,3314,"Uzerche","petite
(< 30.000 hab.)",-0.986755508285142,-2.34399886474547,0.458817686051249,0.550676862735022
"732",3105,3105,3162,3217,3332,3603,3553,3605,3528,"Lapalisse","petite
(< 30.000 hab.)",0,-0.453743046719279,-0.573168070425834,-0.500507211085532
"733",2865,2967,3128,3185,3356,3159,3169,3130,2965,"Sarre-Union","petite
(< 30.000 hab.)",-1.15932711274569,-1.31237430869399,-0.60014079550651,-0.744323228738897
"734",3493,3319,3187,3043,2899,2979,3146,3318,3283,"Saint-Amour","petite
(< 30.000 hab.)",1.71783573978683,1.01975182182861,1.55314330567158,0.694946782421502
"735",9013,8903,8851,8709,8781,9110,9377,9469,10052,"Pouancé","petite
(< 30.000 hab.)",0.410161568956546,0.146553575064523,0.5405716200229,-0.117549751335344
"736",2940,2963,3082,3309,3403,3568,3699,3715,3704,"Lacaune","petite
(< 30.000 hab.)",-0.259419166757235,-0.979582235898313,-2.34107132360174,-0.39936279695223
"737",3362,3271,3191,3044,2805,2629,2545,2139,1317,"Fessenheim","petite
(< 30.000 hab.)",0.91887216057478,0.620955013096292,1.58448550416717,1.17497640610715
"738",3060,3058,3080,3150,3364,3349,3202,2209,1704,"Cany-Barville","petite
(< 30.000 hab.)",0.0217959902281573,-0.179051747722359,-0.746296469744834,-0.934580951051311
"739",3083,3116,3208,3281,3276,3364,3411,3567,3438,"Argentat","petite
(< 30.000 hab.)",-0.354270280257929,-0.724799616006377,-0.747213176774686,0.0217893447921114
"740",5041,3159,3121,2983,2985,3102,2981,2803,2598,"Moncoutant-sur-Sèvre","petite
(< 30.000 hab.)",16.8572577122879,0.303009612151173,1.51888482590958,-0.00957441750844001
"741",2987,2992,3039,3101,3271,3274,3625,4063,4026,"Charolles","petite
(< 30.000 hab.)",-0.0557351581290555,-0.388903150856434,-0.670943263039159,-0.759545171922305
"742",2920,2931,3076,3023,2968,3146,3206,3315,2985,"Nesle","petite
(< 30.000 hab.)",-0.125256336968638,-1.19990280489806,0.581025974167804,0.262649900535128
