"";"ID_AU2010";"TYPEQU";"NB_2013";"NB_2018";"LIB_MOD";"population";"LIBAU2010";"TAU2016";"NB_COM";"densite_2013";"densite_2018";"NB_2013_2";"TCAM";"TAU2016_group";"TAU2016_Insee";"reordonner"
"88";"255";"A206";2;1;"Bureau de poste";20206;"Villefranche-de-Rouergue";"03";16;0,989805008413343;0,494902504206671;2;-12,9449436703876;"petite";"3: 20.000-25.000";"a"
"89";"256";"A206";5;3;"Bureau de poste";18502;"Paimpol";"02";9;2,70241055021079;1,62144633012647;5;-9,71195485525658;"petite";"2: 15.000-20.000";"a"
"90";"259";"A206";7;5;"Bureau de poste";17487;"Decazeville";"02";9;4,00297363755933;2,85926688397095;7;-6,50801238515298;"petite";"2: 15.000-20.000";"a"
"91";"260";"A207";1;0;"Relais poste commer√ßant";19499;"Bressuire";"02";1;0,512846812657059;0;1;-100;"petite";"2: 15.000-20.000";"a"
"92";"262";"A206";5;2;"Bureau de poste";19031;"BrianÁon";"02";9;2,62729231254269;1,05091692501708;5;-16,7446792598127;"petite";"2: 15.000-20.000";"a"
"93";"263";"A206";3;2;"Bureau de poste";16619;"Nogent-le-Rotrou";"02";12;1,80516276550936;1,2034418436729;3;-7,78920885182722;"petite";"2: 15.000-20.000";"a"
"94";"264";"A206";3;2;"Bureau de poste";17259;"Gray";"02";32;1,73822353554667;1,15881569036445;3;-7,78920885182722;"petite";"2: 15.000-20.000";"a"
"95";"266";"A206";3;2;"Bureau de poste";18165;"Thiers";"02";7;1,65152766308836;1,1010184420589;3;-7,78920885182722;"petite";"2: 15.000-20.000";"a"
"96";"267";"A206";7;3;"Bureau de poste";18418;"Saint-Girons";"02";39;3,80062981865566;1,62884135085243;7;-15,587912015589;"petite";"2: 15.000-20.000";"a"
"97";"271";"A206";3;2;"Bureau de poste";18195;"Mende";"02";15;1,64880461665293;1,09920307776862;3;-7,78920885182722;"petite";"2: 15.000-20.000";"a"
"98";"275";"A206";3;1;"Bureau de poste";15696;"Coutances";"02";14;1,91131498470948;0,63710499490316;3;-19,7258438239769;"petite";"2: 15.000-20.000";"a"
"99";"276";"A206";4;3;"Bureau de poste";16677;"Carmaux";"02";6;2,39851292198837;1,79888469149128;4;-5,5912488705098;"petite";"2: 15.000-20.000";"a"
"100";"281";"A207";1;0;"Relais poste commer√ßant";17632;"Honfleur";"02";11;0,567150635208711;0;1;-100;"petite";"2: 15.000-20.000";"a"
"101";"283";"A208";2;1;"Agence postale communale";15278;"Douarnenez";"02";2;1,30907186804556;0,654535934022778;2;-12,9449436703876;"petite";"2: 15.000-20.000";"a"
"102";"287";"A206";2;1;"Bureau de poste";15321;"Avallon";"02";35;1,30539781998564;0,65269890999282;2;-12,9449436703876;"petite";"2: 15.000-20.000";"a"
"103";"290";"A206";3;2;"Bureau de poste";14844;"Mourenx";"01";9;2,02101859337106;1,34734572891404;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"104";"298";"A206";2;1;"Bureau de poste";14183;"Langres";"01";31;1,41013889868152;0,70506944934076;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"105";"300";"A206";4;1;"Bureau de poste";14229;"BagnËres-de-Bigorre";"01";15;2,81116030641647;0,702790076604118;4;-24,2141716744801;"petite";"1: < 15.000";"a"
"106";"305";"A206";2;1;"Bureau de poste";13844;"Provins";"01";5;1,4446691707599;0,722334585379948;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"107";"306";"A207";1;0;"Relais poste commer√ßant";14362;"Rethel";"01";16;0,696281854894861;0;1;-100;"petite";"1: < 15.000";"a"
"108";"307";"A206";2;1;"Bureau de poste";13673;"BollËne";"01";1;1,46273678051635;0,731368390258173;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"109";"312";"A206";2;1;"Bureau de poste";13071;"Saint-Jean-de-Maurienne";"01";8;1,53010481217963;0,765052406089817;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"110";"313";"A206";4;3;"Bureau de poste";15615;"Saint-Vincent-de-Tyrosse";"02";4;2,56163944924752;1,92122958693564;4;-5,5912488705098;"petite";"2: 15.000-20.000";"a"
"111";"315";"A206";2;1;"Bureau de poste";10955;"Saint-Claude";"01";7;1,82565038795071;0,912825193975354;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"112";"317";"A206";3;2;"Bureau de poste";14316;"Pont-l'AbbÈ";"01";4;2,09555741827326;1,39703827884884;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"113";"322";"A206";4;2;"Bureau de poste";12642;"Chamonix-Mont-Blanc";"01";3;3,1640563202025;1,58202816010125;4;-12,9449436703876;"petite";"1: < 15.000";"a"
"114";"328";"A206";3;1;"Bureau de poste";12935;"Saint-Flour";"01";16;2,31928875144956;0,773096250483185;3;-19,7258438239769;"petite";"1: < 15.000";"a"
"115";"333";"A207";1;0;"Relais poste commer√ßant";12952;"Orthez";"01";5;0,772081531809759;0;1;-100;"petite";"1: < 15.000";"a"
"116";"334";"A206";3;2;"Bureau de poste";12047;"Migennes";"01";4;2,49024653440691;1,66016435627127;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"117";"340";"A206";3;1;"Bureau de poste";17134;"ValserhÙne";"02";2;1,75090463406093;0,583634878020311;3;-19,7258438239769;"petite";"2: 15.000-20.000";"a"
"118";"355";"A206";3;2;"Bureau de poste";11022;"Bourg-Saint-Maurice";"01";4;2,72182906913446;1,81455271275631;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"119";"356";"A206";2;1;"Bureau de poste";11676;"UzËs";"01";4;1,71291538198013;0,856457690990065;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"120";"358";"A206";3;1;"Bureau de poste";11841;"La Tremblade";"01";4;2,53356979984799;0,844523266615995;3;-19,7258438239769;"petite";"1: < 15.000";"a"
"121";"360";"A206";3;2;"Bureau de poste";11549;"Montpon-MÈnestÈrol";"01";7;2,59762750021647;1,73175166681098;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"122";"368";"A206";3;2;"Bureau de poste";8933;"Saint-Tropez";"01";3;3,35833426620396;2,23888951080264;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"123";"376";"A206";3;2;"Bureau de poste";10479;"Blaye";"01";8;2,86286859433152;1,90857906288768;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"124";"394";"A206";2;1;"Bureau de poste";9592;"Saint-Affrique";"01";3;2,08507089241034;1,04253544620517;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"125";"404";"A206";2;1;"Bureau de poste";9720;"Marennes-Hiers-Brouage";"01";2;2,05761316872428;1,02880658436214;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"126";"405";"A206";3;1;"Bureau de poste";8384;"Argenton-sur-Creuse";"01";3;3,57824427480916;1,19274809160305;3;-19,7258438239769;"petite";"1: < 15.000";"a"
"127";"407";"A206";2;1;"Bureau de poste";9163;"Saint-Vallier";"01";5;2,18269125832151;1,09134562916076;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"128";"414";"A206";2;1;"Bureau de poste";7557;"Clamecy";"01";17;2,64655286489348;1,32327643244674;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"129";"416";"A206";2;1;"Bureau de poste";7979;"Montmorillon";"01";5;2,50657977190124;1,25328988595062;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"130";"421";"A208";2;1;"Agence postale communale";7644;"Plouhinec - Audierne";"01";2;2,61643118785976;1,30821559392988;2;-12,9449436703876;"petite";"1: < 15.000";"a"
